event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
3562,alloc,506,7268532,7487488,0.970757,84940,134016
3563,alloc,2344,7270876,7491584,0.970539,86628,134080
3564,alloc,1146,7272024,7491584,0.970692,85448,134112
3565,alloc,3679,7275704,7495680,0.970653,85800,134176
3566,alloc,716,7276428,7495680,0.970750,85076,134176
3567,alloc,2085,7278516,7499776,0.970498,87020,134240
3568,alloc,2981,7281500,7503872,0.970366,88068,134304
3569,alloc,3362,7284864,7507968,0.970284,88736,134368
3570,alloc,125,7284992,7507968,0.970301,88608,134368
3571,alloc,1974,7286984,7507968,0.970567,86616,134368
3572,alloc,1012,7287996,7507968,0.970702,85572,134400
3573,alloc,224,7288220,7507968,0.970731,85348,134400
3574,alloc,13,7288236,7507968,0.970733,85332,134400
3575,alloc,2908,7291144,7512064,0.970591,86456,134464
3576,alloc,165,7291312,7512064,0.970614,86288,134464
3577,alloc,2469,7293784,7516160,0.970414,87848,134528
3578,alloc,2927,7296712,7520256,0.970274,88952,134592
3579,alloc,1623,7298336,7520256,0.970490,87296,134624
3580,alloc,1708,7300044,7520256,0.970717,85556,134656
3581,alloc,2972,7303016,7524352,0.970584,86616,134720
3582,alloc,3961,7306980,7528448,0.970583,86684,134784
3583,alloc,2750,7309732,7532544,0.970420,87964,134848
3584,alloc,3925,7313660,7536640,0.970414,88068,134912
3585,alloc,737,7314404,7536640,0.970513,87324,134912
3586,alloc,3763,7318168,7540736,0.970485,87592,134976
3587,alloc,2304,7320472,7544832,0.970263,89320,135040
3588,alloc,749,7321224,7544832,0.970363,88568,135040
3589,alloc,1612,7322836,7544832,0.970576,86924,135072
3590,alloc,339,7323188,7544832,0.970623,86572,135072
3591,alloc,883,7324072,7544832,0.970740,85656,135104
3592,alloc,3214,7327288,7548928,0.970640,86472,135168
3593,alloc,187,7327480,7548928,0.970665,86280,135168
3594,alloc,2636,7330116,7553024,0.970488,87676,135232
3595,alloc,671,7330788,7553024,0.970577,87004,135232
3596,alloc,2569,7333360,7557120,0.970391,88464,135296
3597,alloc,4058,7337424,7561216,0.970403,88464,135328
3598,alloc,1560,7338984,7561216,0.970609,86904,135328
3599,alloc,1450,7340444,7561216,0.970802,85444,135328
3600,alloc,1988,7342436,7561216,0.971066,83452,135328
