event,action,req_bytes,aligned_in_use,bytes_from_os,utilization,free_payload,overhead_est
4581,alloc,1418,9384124,11149312,0.841677,1534628,230560
4582,alloc,168,9384292,11149312,0.841692,1534428,230592
4583,alloc,3408,9387700,11153408,0.841689,1535052,230656
4584,alloc,517,9388220,11153408,0.841736,1534500,230688
4585,alloc,2069,9390292,11157504,0.841612,1536460,230752
4586,alloc,1751,9392044,11157504,0.841769,1534676,230784
4587,alloc,86,9392132,11157504,0.841777,1534556,230816
4588,alloc,3262,9395396,11161600,0.841761,1535324,230880
4589,alloc,3171,9398568,11165696,0.841736,1536184,230944
4590,alloc,2241,9400812,11169792,0.841628,1537972,231008
4591,alloc,2244,9403056,11173888,0.841521,1539760,231072
4592,alloc,2278,9405336,11177984,0.841416,1541512,231136
4593,alloc,348,9405684,11177984,0.841447,1541132,231168
4594,alloc,3533,9409220,11182080,0.841455,1541628,231232
4595,alloc,2242,9411464,11186176,0.841348,1543416,231296
4596,alloc,279,9411744,11186176,0.841373,1543104,231328
4597,alloc,745,9412492,11186176,0.841440,1542324,231360
4598,alloc,1343,9413836,11186176,0.841560,1540948,231392
4599,alloc,1236,9415072,11186176,0.841670,1539680,231424
4600,alloc,1143,9416216,11186176,0.841773,1538504,231456
4601,alloc,210,9416428,11186176,0.841792,1538260,231488
4602,alloc,2737,9419168,11190272,0.841728,1539552,231552
4603,alloc,3566,9422736,11194368,0.841739,1540016,231616
4604,alloc,392,9423128,11194368,0.841774,1539592,231648
4605,alloc,2765,9425896,11198464,0.841713,1540856,231712
4606,alloc,1956,9427852,11202560,0.841580,1542932,231776
4607,alloc,2279,9430132,11206656,0.841476,1544684,231840
4608,alloc,2183,9432316,11210752,0.841363,1546532,231904
4609,alloc,3474,9435792,11214848,0.841366,1547088,231968
4610,alloc,3019,9438812,11218944,0.841328,1548100,232032
4611,alloc,3882,9442696,11223040,0.841367,1548248,232096
4612,alloc,377,9443076,11223040,0.841401,1547836,232128
4613,alloc,2866,9445944,11227136,0.841349,1549000,232192
4614,alloc,15,9445960,11227136,0.841351,1548952,232224
4615,alloc,3172,9449132,11231232,0.841326,1549812,232288
4616,alloc,1718,9450852,11231232,0.841480,1548060,232320
4617,alloc,1548,9452400,11231232,0.841617,1546480,232352
